of_ratio,chamber_pressure_bar,chamber_temperature,gamma,molecular_weight,gas_constant,density,cp_mass,cv_mass,sound_speed,viscosity,thermal_conductivity,prandtl,mole_fraction_co2,mole_fraction_h2o,mole_fraction_co,mole_fraction_h2,mole_fraction_o2,exit_mach,exit_pressure_bar,exit_temperature,exit_velocity,thrust_coefficient,thrust_coefficient_vacuum,characteristic_velocity,specific_impulse,specific_impulse_vacuum,ambient_pressure_bar,nozzle_area_ratio
2.0,20.0,2724.229730945111,1.2390205320078802,15.960404437668178,520.9431033295286,1.4092757359323644,2700.434124261379,2179.4910209318505,1326.0388929313838,7.912601776046873e-05,0.4083421152693069,0.523273477036187,0.03564154967591966,0.2959503257267045,0.2959695537215119,0.3621640576402183,8.792859113481757e-06,3.703990714854262,0.13057581862803044,1032.051120163145,3023.1165590829723,1.0126561008280266,1.7626561008280266,1815.986391109804,187.5227216203305,326.40702903747626,1.0,15.0
2.05,20.0,2788.769129440853,1.2360751884710077,16.20328125410879,513.1344995967949,1.3976107059404204,2686.740726156315,2173.60622655952,1329.9776198352242,8.076692205543016e-05,0.4118876050076549,0.5268422166007738,0.037713638224171495,0.3091838204352887,0.293424123983712,0.346597471091017,1.753200989180094e-05,3.6928425299001617,0.13176407500374795,1068.6213276501235,3040.260236913746,1.014630305498002,1.764630305498002,1825.0972543740256,188.8309447945101,328.41203933551225,1.0,15.0
2.1,20.0,2849.53280228186,1.233348431514483,16.441846917888178,505.68909074973715,1.3879465774060225,2672.787825751737,2167.098735002,1333.1269732300418,8.232888411964151e-05,0.41493625847719623,0.5303167286230219,0.0399058482601007,0.32192139802982056,0.29068715195652717,0.3311903310060366,3.308412167457781e-05,3.6825601005262047,0.13287421804369443,1103.508537781447,3055.0785252179153,1.01647088484723,1.76647088484723,1832.8837450912317,189.9805705511045,330.15716590409704,1.0,15.0
2.15,20.0,2906.5607902134616,1.2308254868705077,16.675908212826965,498.5912918228842,1.3800851920855797,2658.62699057825,2160.0356987553655,1335.5504258141782,8.381312358238301e-05,0.41751355850215,0.5337020271154774,0.04221631149590402,0.3341139452650762,0.28776010018782916,0.31599949796782456,5.941598559102123e-05,3.6730790034698995,0.1339100900368194,1136.6664423250566,3067.7316974494365,1.018185009714876,1.768185009714876,1839.44068666816,190.98172499529997,331.6597868208082,1.0,15.0
2.2,20.0,2959.9121029648913,1.2284925235395474,16.905309256014938,491.82552606631197,1.3738525241877189,2644.305259089991,2152.4797330236793,1337.3072489036256,8.522106082813657e-05,0.41964323908424384,0.5370049564597661,0.044641637077658725,0.3457158854084773,0.2846467047707912,0.3010847988088986,0.00010203812694822818,3.664339783490333,0.13487547193670815,1168.0657555399257,3078.3725310550153,1.0197796361266105,1.7697796361266105,1844.8579887118954,191.84416782834987,332.93653795820273,1.0,15.0
2.25,20.0,3009.6594680679923,1.2263367233256555,17.129923283017575,485.3765239215117,1.3690958972659497,2629.8651282879705,2144.4886043664583,1338.4523980295182,8.655420654763987e-05,0.42134738725426335,0.5402333001032966,0.04717672107337191,0.3566865094206607,0.2813529502380879,0.28650666990233004,0.00016826252394505823,3.656288003673425,0.1357740127504307,1197.6910431684355,3087.1451453413138,1.0212614017838773,1.7712614017838773,1849.2200903471332,192.57719013881618,334.0031682006773,1.0,15.0
2.3,20.0,3055.885879785184,1.2243462781887808,17.34964625661828,479.229518295312,1.3656811127962765,2615.344822566391,2136.1153042710794,1339.036696011321,8.781409410166489e-05,0.4226467986390954,0.5433949508115425,0.049814597542071445,0.3669912611943322,0.277887056970672,0.2723238751063205,0.00026737339798583114,3.6488740489437035,0.13660919179473488,1225.5384050554012,3094.1848010524545,1.022636576293823,1.772636576293823,1852.6059402888297,193.18958013170325,334.8745036495837,1.0,15.0
2.35,20.0,3098.6830583558667,1.2225103210330794,17.564393166592932,473.3703316301957,1.3634895155515754,2600.778756697462,2127.4084250672668,1339.1072569412922,8.900225734277171e-05,0.423561512447864,0.5464971990902823,0.0525463666983407,0.37660294620060997,0.2742594561139576,0.25859134696813324,0.0004106610369206317,3.6420527064274104,0.1373843128717438,1251.6141774370283,3099.618527383869,1.023911062944714,1.7739110629447141,1855.0894328411518,193.68964866064258,335.564506500054,1.0,15.0
2.4,20.0,3138.151500318618,1.2208188070306771,17.774097172317795,467.78536977408737,1.3624151195104506,2586.198090431077,2118.4127206569897,1338.708053549583,9.01202483274504e-05,0.4241114264374744,0.5495461796240649,0.05536123445715942,0.3855027862855353,0.2704827138733086,0.24535820820662607,0.0006112768533185055,3.6357825870770784,0.13810252398361797,1275.9345562422059,3103.5663049913437,1.0250904411244335,1.7750904411244335,1856.7401433574798,194.0852964679848,336.08639852812865,1.0,15.0
2.45,20.0,3174.401517378639,1.2192623686359032,17.978711129293174,462.4615501278217,1.3623619547311254,2571.63127681158,2109.1697266837587,1337.8805168346726,9.116968339757485e-05,0.4243168832751292,0.5525465013613217,0.05824668707992969,0.3936812082619321,0.2665713670133407,0.23266605694962056,0.0008838883470055003,3.630025473358131,0.1387668529794707,1298.5258489049768,3106.142475952029,1.0261800334377549,1.7761800334377549,1857.6241763595137,194.3841005247855,336.452812293803,1.0,15.0
